Country,Year,GDP_per_capita,Population,Female_population,Male_population,Life_expectancy,GDP(inflation_adjusted),External_debt,Agriculture(percent_of_GDP),Industry(percent_of_GDP),Service(percent_of_GDP),Imports(percent_of_GDP),Exports(percent_of_GDP),Continent
Kazakhstan,1/1/1998,8500,15265189,7919693,7339375,63.1,16221394497,6084480000,9.110731112,31.17955985,59.70970904,34.85997945,30.34420329,Asia
Kazakhstan,1/1/2000,9706,14956694,7784792,7171959,63.6,18291990619,12432603000,8.687818554,40.46335823,50.84882321,49.09726583,56.6024268,Asia
Kazakhstan,1/1/2002,12116,14901669,7782223,7145191,64.1,22796027469,17980760000,8.616010247,38.58815231,52.79583744,47.04104489,46.99064076,Asia
Kazakhstan,1/1/2004,14365,15053492,7875385,7216707,64.5,27307999594,32814702000,7.579146721,37.61594515,54.80490813,43.90878928,52.50041043,Asia
Kazakhstan,1/1/2006,17109,15312333,7993093,7305057,65.1,33162261239,74230184000,5.879093585,42.10102602,52.0198804,40.47823972,51.15120809,Asia
Kazakhstan,1/1/2008,18797,15655345,8123009,7398484,66.1,37305454672,107595000000,5.716511381,43.28433093,50.99915768,37.14355081,57.24992623,Asia
Kenya,1/1/1996,2227,28191597,14197822,14085553,59.6,11882106663,6813620000,30.7391782,18.32782953,50.93299227,32.11150875,25.20060195,Africa
Kenya,1/1/1998,2194,29696410,14981011,14862972,58.1,12331338333,6823973000,31.23148551,17.49527339,51.2732411,28.72798111,20.16926083,Africa
Kenya,1/1/2000,2143,31253701,15776966,15663671,57.4,12691278914,6140753000,32.36397421,16.92000866,50.71601713,31.72147324,21.58757114,Africa
Kenya,1/1/2002,2120,32927864,16605839,16512943,57.4,13243024245,6119064000,29.13061411,17.41209451,53.45729139,30.27469965,24.89797261,Africa
Kenya,1/1/2004,2173,34702176,17477278,17413088,58.2,14327158818,6911667000,28.04234626,18.22887564,53.7287781,32.86674477,26.61025858,Africa
Kenya,1/1/2006,2319,36540948,18405711,18365902,59.6,16133989515,6552095000,26.75702888,18.4951187,54.75584513,36.31194064,27.11175841,Africa
Kenya,1/1/2008,2358,38455418,19393170,19372142,61.5,17526052449,7440676000,25.83325443,19.76527499,54.40147058,41.67450986,27.60697712,Africa
Latvia,1/1/1996,8408,2462617,1327270,1133611,67.9,6170981039,1231763000,7.422650637,28.57142857,64.00592079,54.25051201,46.81577322,Europe
Latvia,1/1/1998,9912,2419819,1303572,1109506,69.6,6997691674,3114976000,3.996207768,27.57699379,68.42679844,59.61720772,47.18030183,Europe
Latvia,1/1/2000,10859,2384972,1283240,1090530,70.1,7833068425,4855075000,4.604133844,23.56855645,71.82730971,48.67435835,41.64179343,Europe
Latvia,1/1/2002,12782,2350340,1263310,1073750,70.4,9010898599,6808471000,4.602308863,22.7147455,72.68294563,50.62062318,40.87473354,Europe
Latvia,1/1/2004,15437,2319229,1245449,1060166,71,10497533388,12708499000,4.420594416,22.26058241,73.31882318,59.57263304,43.9601886,Europe
Latvia,1/1/2006,19367,2293080,1230555,1049266,70.9,13030690849,22792594000,3.507630367,21.90591417,74.58645547,66.34949335,44.8843496,Europe
Latvia,1/1/2008,20977,2271198,1218275,1040520,72.3,13722705688,42107630000,3.04583012,23.04430529,73.90986459,56.46459725,42.81595421,Europe
Lebanon,1/1/1996,12726,3539137,1810826,1756349,74.7,16902135516,3996409000,6.891110654,24.86075949,68.24812985,55.25029276,12.84632,Asia
Lebanon,1/1/1998,12703,3644171,1869264,1804030,75.5,17108967140,6792623000,6.910622043,26.88284065,66.20653731,40.95376496,13.76343264,Asia
Lebanon,1/1/2000,12335,3742329,1924208,1848075,76.2,17260364842,9851253000,7.110312801,22.75913432,70.13055288,35.9377402,14.17755573,Asia
Lebanon,1/1/2002,12199,3868504,1989472,1909145,76.7,18548122592,17090000000,6.666938509,22.5044854,70.82857609,34.94389027,16.09864228,Asia
Lebanon,1/1/2004,12348,3998042,2054398,1973332,77.1,20580683499,23144458000,6.368378915,21.97492862,71.65669246,41.68112765,20.05967059,Asia
Lebanon,1/1/2006,12171,4097457,2104432,2021464,76.8,20911331543,25137572000,7.169589022,20.18850925,72.64190173,42.14509549,21.2528824,Asia
Lebanon,1/1/2008,14158,4166915,2139928,2053830,77.6,24564306468,24394684000,6.938325991,21.74847913,71.31319488,53.46565222,24.42827214,Asia
Lesotho,1/1/1996,1520,1829222,936560,820329,57.2,644484498,701225000,19.07528661,43.37879807,37.54591531,132.3744583,30.63995605,Africa
Lesotho,1/1/1998,1572,1900962,972305,853090,53.6,703230505,688209000,18.07936632,41.63659221,40.28404147,111.9657665,29.34816549,Africa
Lesotho,1/1/2000,1629,1963878,1005138,883382,49.8,745832990,671818000,12.3352634,31.55451543,56.11022117,103.3841514,34.21843337,Africa
Lesotho,1/1/2002,1680,2010261,1029970,907401,47,785207642,654491000,10.34029809,34.77835438,54.88134754,126.5942364,61.08641025,Africa
Lesotho,1/1/2004,1775,2047006,1049226,927309,44.8,837801746,766629000,9.615511285,32.48638637,57.89810234,129.7830183,56.3685014,Africa
Lesotho,1/1/2006,1873,2085561,1066912,946708,44,897523945,649893000,7.885576547,35.34102011,56.77340334,119.0875057,53.54442135,Africa
Lesotho,1/1/2008,2041,2127412,1083434,965995,45.2,990722466,682314000,8.014980664,37.26442779,54.72059155,121.0069136,56.27882293,Africa
Lithuania,1/1/1996,10606,3604044,1908977,1695649,70,9678020500,1426904000,12.02282209,29.95531224,58.02186567,59.16947267,49.96825557,Europe
Lithuania,1/1/1998,12200,3549816,1884262,1665319,71.7,11194349750,3473222000,8.671555857,31.10650462,60.22193953,56.4085818,45.05600206,Europe
Lithuania,1/1/2000,12484,3500028,1862512,1638307,72,11434200000,4723095000,6.349457413,29.77946791,63.87107468,51.02259012,44.74711829,Europe
Lithuania,1/1/2002,14268,3462402,1848246,1619195,72,13042025000,6170994000,5.424610378,29.66898322,64.9064064,58.42181982,52.70587151,Europe
Lithuania,1/1/2004,16913,3432060,1834417,1603283,71.9,15435325000,10490923000,4.658943558,33.06123385,62.27982259,59.1307829,52.05206562,Europe
Lithuania,1/1/2006,19923,3397895,1807731,1580952,71.1,17944975000,18564967000,4.300785246,32.86156953,62.83764523,69.26121595,59.08376091,Europe
Lithuania,1/1/2008,23223,3359799,1768666,1552309,72,20287746250,31719499000,3.717042809,31.58657497,64.69638222,71.69031005,59.87738738,Europe
Madagascar,1/1/1996,1388,13547271,6775046,6756037,58.4,3281596749,4127376000,27.19903115,11.36383441,61.43713444,26.00428652,20.49243353,Africa
Madagascar,1/1/1998,1404,14430739,7208819,7177135,59.5,3536611917,4383690000,30.57605585,13.62860996,55.79533419,29.27742094,21.5205757,Africa
Madagascar,1/1/2000,1446,15364272,7659566,7615796,60.5,3877575177,4691159000,29.20998685,14.23271686,56.55729629,38.0051148,30.67932053,Africa
Madagascar,1/1/2002,1259,16338968,8122206,8067590,61.2,3589911444,4511070000,31.67835872,14.41222563,53.90941565,22.57384546,16.00837948,Africa
Madagascar,1/1/2004,1371,17357913,8597739,8533578,61.8,4148368403,3788338000,28.7998927,15.94996137,55.25014593,47.48388761,32.63643678,Africa
Madagascar,1/1/2006,1421,18426870,9088957,9016482,62.7,4557258852,1487616000,27.48351862,16.14191611,56.37456527,45.77413014,29.73209236,Africa
Madagascar,1/1/2008,1528,19546282,9595241,9515700,63.4,5186794028,2085527000,24.80647001,16.17693737,59.01659262,57.01813555,26.59250237,Africa
Malawi,1/1/1996,625,10070605,5255660,5137136,46.9,1544739824,2310882000,34.69009898,19.33805989,45.97183788,31.8766702,22.82575284,Africa
Malawi,1/1/1998,639,10612353,5594936,5480877,46.2,1665776323,2438187000,35.58186035,18.28172374,46.13641798,38.10501515,32.77016205,Africa
Malawi,1/1/2000,632,11228756,5972203,5859228,46.3,1743506520,2704923000,39.53955418,17.91625017,42.54418909,35.33498307,25.60365249,Africa
Malawi,1/1/2002,580,11833102,6333138,6219471,47,1684932752,2886889000,36.73926541,17.80931217,45.45142241,34.15408402,20.80266364,Africa
Malawi,1/1/2004,609,12472794,6695644,6581850,47.8,1875372277,3427339000,34.63306716,17.43270882,47.93422402,43.19448924,24.95985935,Africa
Malawi,1/1/2006,604,13195329,7075960,6966556,49.3,2072290116,872378000,31.16984805,16.95674239,51.87340956,47.10764076,22.61955872,Africa
Malawi,1/1/2008,674,14005113,7473019,7373163,51.4,2375260856,963134000,30.11037881,16.05440985,53.83521134,51.3472402,28.18877426,Africa
Malaysia,1/1/1996,15051,21247102,10391022,10734636,73.1,81644916395,39673262000,11.68038834,43.52804125,44.79156961,90.19047588,91.57579314,Asia
Malaysia,1/1/1998,14231,22322448,10921006,11295389,73.4,81174981725,42409220000,13.31224426,43.87575501,42.81200073,93.74848014,115.7437334,Asia
Malaysia,1/1/2000,15695,23414909,11437157,11836458,73.8,93789736842,41873742000,8.599021888,48.32057149,43.08040662,100.5970803,119.8097087,Asia
Malaysia,1/1/2002,15950,24515323,11918987,12330968,74.1,99357631579,48272109000,8.985081404,45.1153797,45.8995389,91.0509299,108.3053028,Asia
Malaysia,1/1/2004,17342,25590453,12378398,12795400,74.2,112238947368,52155629000,9.271002093,48.5303176,42.1986803,95.00092818,115.3733377,Asia
Malaysia,1/1/2006,18582,26586287,12836858,13257884,74.6,125138421053,55025712000,8.779978976,49.68978976,41.53023126,93.9074683,112.1849169,Asia
Malaysia,1/1/2008,19968,27502008,13294881,13719456,74.5,139653485881,66182277000,10.18368734,47.92883925,41.88747342,80.02468576,99.49983635,Asia
Maldives,1/1/1996,5602,253960,124297,129085,70.2,458492055,168203000,10.73674271,12.80983754,76.45341975,73.09564233,91.71288436,Asia
Maldives,1/1/1998,6564,263867,129404,133926,71.5,555755698,193600000,9.54817464,14.88438795,75.56743741,75.78096977,92.4309165,Asia
Maldives,1/1/2000,7134,273236,134014,138234,72.6,624337144,206004000,8.760953161,15.03656307,76.20248377,71.61830622,89.47284827,Asia
Maldives,1/1/2002,7540,282266,138264,142227,74,684924266,271673000,10.12469969,20.88290813,68.99239217,55.96438019,59.79165846,Asia
Maldives,1/1/2004,9511,290988,142335,146057,75.8,877061584,365786000,8.927841005,26.5020091,64.5701499,68.21039568,64.02626604,Asia
